participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
77,1,2571.9500000122935,misconception,28,99,185,228,10B7/8,35,222701,block1_target_trial
77,1,1729.9500000081025,bus,13,252,190,0,5Y8/14,36,224948,block1_target_trial
266,1,4136.2349999835715,misconception,33,239,107,106,5R6/12,20,246108,block1_target_trial
482,1,3665.434999973513,magazine,13,252,190,0,5Y8/14,137,472248,block2_target_trial
489,1,1981.0000001452863,apple,44,216,65,0,10R5/16,127,559286,block2_target_trial
588,1,1806.284999998752,modesty,27,29,194,202,10BG7/8,111,352670,block2_target_trial
77,1,2221.5699999942444,needle,32,181,182,181,N7,37,227685,block1_target_trial
271,1,2271.2549999996554,train,65,107,108,107,N4,84,411493,block2_target_trial
113,1,1929.6249999897557,randomness,5,205,236,235,10BG9/2,89,974119,block2_target_trial
489,1,2347.999999998138,communication,47,54,142,15,10GY5/12,129,564165,block2_target_trial
77,1,4165.2650000178255,noun,50,0,146,196,10B5/12,38,232383,block1_target_trial
588,1,3511.2199999857694,bunkbed,87,59,58,58,N2,113,358832,block2_target_trial
271,1,2478.7799999903655,passion,55,190,26,52,5R4/14,86,417093,block2_target_trial
266,1,4121.58500001533,bread,2,238,234,140,10Y9/6,22,254272,block1_target_trial
77,1,2425.4799999762326,jeans,72,0,79,142,10B3/10,39,235332,block1_target_trial
489,1,2391.0000000614673,badger,49,0,147,152,10BG5/10,131,569014,block2_target_trial
113,1,4049.319999990985,communication,87,59,58,58,N2,91,982301,block2_target_trial
266,1,4341.480000002775,skin,1,255,225,176,10YR9/4,23,259161,block1_target_trial
588,1,1547.2849999787286,toast,45,170,103,0,10YR5/10,115,364050,block2_target_trial
448,1,22840.994999991497,regret,66,137,34,17,10R3/10,52,1307544,block1_target_trial
489,1,1821.9999999273568,mirror,47,54,142,15,10GY5/12,133,574088,block2_target_trial
266,1,4132.0100000011735,bracelet,58,93,100,0,5GY4/8,24,263830,block1_target_trial
588,1,1655.3449999773875,cabinet,45,170,103,0,10YR5/10,117,368521,block2_target_trial
271,1,8378.740000000107,bracelet,45,170,103,0,10YR5/10,88,429045,block2_target_trial
489,1,1557.0000000298023,discomfort,52,181,89,164,10P5/12,135,578779,block2_target_trial
448,1,5181.44000000041,sanity,15,135,220,178,5G8/6,53,1313231,block1_target_trial
588,1,2086.0300000058487,trouble,44,216,65,0,10R5/16,119,373215,block2_target_trial
113,1,5783.284999983152,flag,72,0,79,142,10B3/10,93,993340,block2_target_trial
489,1,1260.0000000093132,modesty,48,0,149,112,10G5/10,137,582183,block2_target_trial
448,1,2510.715000011027,cabinet,67,100,65,8,10YR3/6,54,1316247,block1_target_trial
266,1,6665.864999988116,democracy,25,103,196,96,10GY7/10,25,271040,block1_target_trial
271,1,2459.2950000078417,badger,56,146,80,27,5YR4/8,90,435309,block2_target_trial
588,1,2148.584999958985,train,23,244,150,0,10YR7/14,121,377922,block2_target_trial
448,1,3015.664999998873,magic,37,29,171,113,5G6/10,55,1319780,block1_target_trial
266,1,4066.660000011325,diner,47,54,142,15,10GY5/12,26,275643,block1_target_trial
448,1,1695.7750000001397,notion,73,79,58,135,10PB3/10,56,1321992,block1_target_trial
113,1,5037.849999993341,regret,66,137,34,17,10R3/10,95,1001787,block2_target_trial
588,1,1478.3000000170432,sanity,27,29,194,202,10BG7/8,123,382198,block2_target_trial
77,1,21977.72999998415,reality,40,96,151,219,5PB6/10,40,257827,block1_target_trial
77,1,2013.8399999705143,magic,73,79,58,135,10PB3/10,41,260351,block1_target_trial
640,1,4121,jeans,50,0,146,196,10B5/12,16,65485,block1_target_trial
588,1,2260.245000012219,democracy,62,0,113,178,5PB4/12,125,387496,block2_target_trial
271,1,6245.609999998123,trouble,66,137,34,17,10R3/10,93,446773,block2_target_trial
640,1,1969,democracy,62,0,113,178,5PB4/12,17,67961,block1_target_trial
266,1,8872.535000031348,magic,52,181,89,164,10P5/12,27,285054,block1_target_trial
113,1,2495.3500000119675,badger,67,100,65,8,10YR3/6,97,1009402,block2_target_trial
77,1,5753.604999976233,communication,38,0,173,154,5BG6/10,42,266623,block1_target_trial
321,1,3124.469999980647,elegance,0,245,225,219,10R9/2,16,94547,block1_target_trial
588,1,3036.084999970626,magic,53,218,64,108,10RP5/14,127,393976,block2_target_trial
77,1,1758.0050000105985,mirror,17,158,211,223,5B8/4,43,268898,block1_target_trial
271,1,1906.334999992396,panther,87,59,58,58,N2,95,452709,block2_target_trial
266,1,4422.084999969229,modesty,0,245,225,219,10R9/2,28,290016,block1_target_trial
448,1,4206.975000008475,tie,76,82,82,81,N3,58,1335662,block2_target_trial
113,1,2391.2300000083633,freedom,72,0,79,142,10B3/10,99,1015117,block2_target_trial
640,1,7215,regret,84,0,58,101,5PB2/8,18,75691,block1_target_trial
588,1,1456.2199999927543,tie,40,96,151,219,5PB6/10,129,397901,block2_target_trial
640,1,2693,dream,10,233,232,231,N9,19,78902,block1_target_trial
77,1,2334.0900000184774,notion,25,103,196,96,10GY7/10,45,275506,block1_target_trial
321,1,3074.9850000138395,bunkbed,45,170,103,0,10YR5/10,18,102427,block1_target_trial
448,1,1718.919999999227,mirror,5,205,236,235,10BG9/2,60,1342064,block2_target_trial
271,1,3842.950000005658,elegance,35,187,139,0,5Y6/10,97,459589,block2_target_trial
321,1,2532.7549999929033,noun,43,163,162,162,N6,19,105463,block1_target_trial
266,1,8657.430000021122,elegance,30,218,156,201,10P7/8,29,299214,block1_target_trial
588,1,2771.2000000174157,anxiety,66,137,34,17,10R3/10,131,404432,block2_target_trial
113,1,7190.419999998994,cabinet,57,116,95,21,5Y4/6,101,1025489,block2_target_trial
271,1,1698.8600000040606,noun,48,0,149,112,10G5/10,99,464292,block2_target_trial
